iso3,country,target_pct_gdp,target_year,actual_pct_gdp,actual_year,gap_pct_points,source_target,source_actual,notes
ALB,Albania,5.0,2035,2.01,2025,2.99,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
BEL,Belgium,5.0,2035,2.000905,2025,2.999095,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
BGR,Bulgaria,5.0,2035,2.0584,2025,2.9416,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
CAN,Canada,5.0,2035,2.008308,2025,2.991692,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
HRV,Croatia,5.0,2035,2.031668,2025,2.968332,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
CZE,Czechia,5.0,2035,2.00044,2025,2.99956,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
DNK,Denmark,5.0,2035,3.215799,2025,1.784201,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
EST,Estonia,5.0,2035,3.378827,2025,1.621173,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
FIN,Finland,5.0,2035,2.77259,2025,2.22741,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
FRA,France,5.0,2035,2.053831,2025,2.946169,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
